2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"max_term_std": 0.243533, "reward_std_feasible": 0.854006, "reward_std_total": 0.854006}, "check": "check_reward_dynamic_range", "detail": "reward_std_feasible=0.8540 < 4.0 * max_term_std=0.2435", "event_type": "INVARIANT_CHECK_FAILED", "expected": ">= 4.0 * max(term_std) UND >= 0.05 UND total/feasible <= 3.0", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.8803, "check": "check_annualization_commensurability", "detail": "Trial-Index 50: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.88 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/120 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/180 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "SqueezeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.310762): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.6083, "check": "check_annualization_commensurability", "detail": "Trial-Index 91: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.608 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/106 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.768+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.560428): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.768+00:00"}
2026-08-08T09:53:48.768+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 2.1297, "check": "check_annualization_commensurability", "detail": "Trial-Index 4: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 2.13 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.768+00:00"}
2026-08-08T09:53:48.768+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/106 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.768+00:00"}
