2026-08-06T04:29:03.778+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.778+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 273.62, "required_days": 426.0, "delta_days": 152.38}
2026-08-06T04:29:03.778+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.778+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 257.62, "required_days": 426.0, "delta_days": 168.38}
2026-08-06T04:29:03.778+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.778+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 320.62, "required_days": 426.0, "delta_days": 105.38}
2026-08-06T04:29:03.781+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"event_type": "DISK_BUDGET_PREFLIGHT", "timestamp_utc": "2026-08-06T04:29:03.781+00:00", "strategy": null, "symbol": null, "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "expected_trials": 274560, "expected_bytes": 8236800000, "budget_bytes": 214748364800, "free_bytes": 851119992832}
2026-08-06T04:35:25.608+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/XOM.ETORO] [#565] VolatilityBreakoutPumpStrategy/XOM.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-06T04:35:25.641+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/XOM.ETORO] [#565] FlashCrashReversalStrategy/XOM.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-06T04:35:25.801+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/XOM.ETORO] [#565] MeanReversionStrategy/XOM.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-06T04:35:25.861+00:00 | ⚠️  WARNING  | optimizer                      | [HourlyMeanReversionStrategy/XOM.ETORO] [#565] HourlyMeanReversionStrategy/XOM.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-06T04:35:25.959+00:00 | ⚠️  WARNING  | optimizer                      | [TrendPullbackStrategy/XOM.ETORO] [#565] TrendPullbackStrategy/XOM.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-06T04:35:25.960+00:00 | ⚠️  WARNING  | optimizer                      | [OpeningRangeBreakoutStrategy/XOM.ETORO] [#565] OpeningRangeBreakoutStrategy/XOM.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
