2026-08-18T15:13:36.625+00:00 | ⚠️  WARNING  | optimizer                      | [VwapExhaustionStrategy/TSLA.ETORO] [#565] VwapExhaustionStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:37.196+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/TSLA.ETORO] [#565] VolatilityBreakoutPumpStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:37.388+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/TSLA.ETORO] [#565] DynamicBreakoutStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:38.226+00:00 | ⚠️  WARNING  | optimizer                      | [HourlyMeanReversionStrategy/TSLA.ETORO] [#565] HourlyMeanReversionStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:38.347+00:00 | ⚠️  WARNING  | optimizer                      | [OpeningRangeBreakoutStrategy/TSLA.ETORO] [#565] OpeningRangeBreakoutStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:40.469+00:00 | ⚠️  WARNING  | optimizer                      | [DonchianRegimeBreakoutStrategy/TSLA.ETORO] [#565] DonchianRegimeBreakoutStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:40.674+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/TSLA.ETORO] [#565] MeanReversionStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:40.712+00:00 | ⚠️  WARNING  | optimizer                      | [AdxAtrMomentumStrategy/TSLA.ETORO] [#565] AdxAtrMomentumStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:41.919+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/TSLA.ETORO] [#565] FlashCrashReversalStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:41.923+00:00 | ⚠️  WARNING  | optimizer                      | [TrendPullbackStrategy/TSLA.ETORO] [#565] TrendPullbackStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:42.343+00:00 | ⚠️  WARNING  | optimizer                      | [Rsi2ReversionStrategy/TSLA.ETORO] [#565] Rsi2ReversionStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:43.502+00:00 | ⚠️  WARNING  | optimizer                      | [SqueezeBreakoutStrategy/TSLA.ETORO] [#565] SqueezeBreakoutStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-18T15:13:44.154+00:00 | ℹ️  INFO     | optimizer                      | [SmaCrossoverStrategy/TSLA.ETORO] [JSON_EVENT] {"backtest_ms": 3248, "data_window_days": 381.0, "data_window_end": "2026-07-04T00:00:00+00:00", "data_window_start": "2025-06-18T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1783018800000000000, "hit_trade_cap": false, "is_rejection_detail": "NONE", "is_sortino_median": 0.0, "is_total_trades": 77, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": true, "oos_evaluated": true, "oos_expectancy": 0.0012268420499924383, "oos_gate_deltas": {"oos_max_drawdown": 0.27886125452921806, "oos_min_excess_return": 0.16807774818028154, "oos_min_expectancy": 0.0011518420499924383, "oos_min_profit_factor": 0.237606544722204, "oos_min_profitable_folds_frac": 0.25, "oos_min_psr": 0.28931221351856273, "oos_min_sortino": 0.8631725073065848, "oos_min_total_return": 0.04784478006834969, "oos_min_trades": 218.0, "oos_min_win_rate": 0.24380530973451328}, "oos_profit_factor": 1.337606544722204, "oos_rejection_reasons": [], "oos_sortino": 1.2931725073065847, "oos_total_return": 0.04784478006834969, "oos_total_trades": 226, "oos_win_rate": 0.3938053097345133, "oos_window_start_ns": 1767571200000000000, "outcome": "evaluable", "per_fold_oos_sortino": [], "per_fold_oos_sortino_period": [0.3231676449035121, 0.21494841147895596, -0.043651477327457604, 0.1235778740083685], "rejection_reason": "none", "reward": 1.1539285957633996, "reward_terms": {"base": 1.2228785456785443, "branch": "per_symbol", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.05778218891856213, "gate_distance_penalty": 0.0, "param_pen": 0.0, "tie_breaker": 0.0023922390034174846, "time_box_penalty": 0.0, "turnover": 0.013560000000000001}, "run_id": "fd960d37_20260818T151333003532", "strategy": "SmaCrossoverStrategy", "study_name": "study_SmaCrossoverStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:44.154+00:00", "trial_number": 100}
2026-08-18T15:13:44.565+00:00 | ℹ️  INFO     | optimizer                      | [VolatilityBreakoutPumpStrategy/TSLA.ETORO] [JSON_EVENT] {"backtest_ms": 2456, "data_window_days": 381.0, "data_window_end": "2026-07-04T00:00:00+00:00", "data_window_start": "2025-06-18T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782997200000000000, "hit_trade_cap": false, "is_rejection_detail": "NONE", "is_sortino_median": 0.0, "is_total_trades": 69, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": true, "oos_evaluated": true, "oos_expectancy": 0.0005761833197643398, "oos_gate_deltas": {"oos_max_drawdown": 0.29258321058043907, "oos_min_excess_return": 0.13144835241881592, "oos_min_expectancy": 0.0005011833197643398, "oos_min_profit_factor": 0.12541990131688885, "oos_min_profitable_folds_frac": 0.0, "oos_min_psr": 0.15523517245983287, "oos_min_sortino": 0.29566677519810697, "oos_min_total_return": 0.011215384306884069, "oos_min_trades": 90.0, "oos_min_win_rate": 0.09489795918367347}, "oos_profit_factor": 1.225419901316889, "oos_rejection_reasons": [], "oos_sortino": 0.725666775198107, "oos_total_return": 0.011215384306884069, "oos_total_trades": 98, "oos_win_rate": 0.24489795918367346, "oos_window_start_ns": 1767571200000000000, "outcome": "evaluable", "per_fold_oos_sortino": [], "per_fold_oos_sortino_period": [-0.7718037877593164, -0.771755465558351, 0.08138323837515872, 0.04004481565327419], "rejection_reason": "none", "reward": 0.67451129608333, "reward_terms": {"base": 0.6910571053557931, "branch": "per_symbol", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.011226578487807313, "gate_distance_penalty": 0.0, "param_pen": 0.0, "tie_breaker": 0.0005607692153442034, "time_box_penalty": 0.0, "turnover": 0.00588}, "run_id": "fd960d37_20260818T151333003532", "strategy": "VolatilityBreakoutPumpStrategy", "study_name": "study_VolatilityBreakoutPumpStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:44.565+00:00", "trial_number": 100}
