2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/120 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=5.059016): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.3314, "check": "check_annualization_commensurability", "detail": "Trial-Index 29: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.331 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.489+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/106 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "DonchianRegimeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.489+00:00"}
2026-08-08T13:34:01.489+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=2.846864): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "Rsi2ReversionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.489+00:00"}
2026-08-08T13:34:01.489+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.256, "check": "check_annualization_commensurability", "detail": "Trial-Index 9: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.256 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "Rsi2ReversionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.489+00:00"}
2026-08-08T13:34:01.489+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/141 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "Rsi2ReversionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.489+00:00"}
2026-08-08T13:34:01.489+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=2.800403): ['param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "SmaCrossoverStrategy/INTU.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.489+00:00"}
2026-08-08T13:34:01.489+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"median_available": 0.001412, "median_missing": 0.022227, "n_available": 74, "n_missing": 15, "p_one_sided": 1.4219907473744797e-09, "z": 5.9404}, "check": "check_selection_statistic_economic_bias", "detail": "Median-OOS-Return der Kohorte OHNE Selektionsstatistik (0.0222, n=15) ist signifikant GRÖSSER als der der Kohorte MIT Statistik (0.0014, n=74) — z=5.9404, p=1.42e-09 < 0.01. Die fehlende Statistik ist nicht MCAR: die Selektion verwirft bevorzugt die profitable Kohorte aus einem numerischen, nicht ökonomischen Grund (Pitfall #306).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "p >= 0.01 (Mann-Whitney, H1: Kohorte-ohne-Statistik > Kohorte-mit-Statistik)", "run_id": "6dbc228c_20260807T205802986791", "scope": "SmaCrossoverStrategy/INTU.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.489+00:00"}
2026-08-08T13:34:01.489+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 3.0503, "check": "check_annualization_commensurability", "detail": "Trial-Index 5: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 3.05 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "SmaCrossoverStrategy/INTU.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.489+00:00"}
